"","truncation","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","1",1,1,1
"2","2",1,2,2
"3","3",1,3,3
"4","4",1,4,4
"5","5",1,5,5
"6","6",1,6,6
"7","1",2,1,1
"8","2",2,2,2
"9","3",2,3,3
"10","4",2,4,4
"11","5",1,5,5
"12","6",1,6,6
"13","1",0,1,1
"14","2",1,2,2
"15","3",1,3,3
"16","4",1,4,4
"17","5",1,5,5
"18","6",1,6,6
"19","1",2,1,1
"20","2",2,2,2
"21","3",1,3,3
"22","4",1,4,4
"23","5",1,5,5
"24","6",1,6,6
"25","1",0,1,1
"26","2",1,2,2
"27","3",1,3,3
"28","4",1,4,4
"29","5",1,5,5
"30","6",1,6,6
"31","1",1,1,1
"32","2",1,2,2
"33","3",1,3,3
"34","4",1,4,4
"35","5",1,5,5
"36","6",1,6,6
"37","1",0,1,1
"38","2",1,2,2
"39","3",1,3,3
"40","4",1,4,4
"41","5",1,5,5
"42","6",1,6,6
"43","1",1,1,1
"44","2",1,2,2
"45","3",1,3,3
"46","4",1,4,4
"47","5",1,5,5
"48","6",1,6,6
"49","1",1,1,1
"50","2",1,2,2
"51","3",1,3,3
"52","4",1,4,4
"53","5",1,5,5
"54","6",1,6,6
"55","1",1,1,1
"56","2",1,2,2
"57","3",1,3,3
"58","4",1,4,4
"59","5",1,5,5
"60","6",1,6,6
"61","1",1,1,1
"62","2",1,2,2
"63","3",1,3,3
"64","4",1,4,4
"65","5",1,5,5
"66","6",1,6,6
"67","1",0,1,1
"68","2",1,2,2
"69","3",1,3,3
"70","4",1,4,4
"71","5",1,5,5
"72","6",1,6,6
"73","1",1,1,1
"74","2",1,2,2
"75","3",1,3,3
"76","4",1,4,4
"77","5",1,5,5
"78","6",1,6,6
"79","1",0,1,1
"80","2",1,2,2
"81","3",1,3,3
"82","4",1,4,4
"83","5",1,5,5
"84","6",1,6,6
"85","1",1,1,1
"86","2",1,2,2
"87","3",1,3,3
"88","4",1,4,4
"89","5",1,5,5
"90","6",1,6,6
"91","1",1,1,1
"92","2",1,2,2
"93","3",1,3,3
"94","4",1,4,4
"95","5",1,5,5
"96","6",1,6,6
"97","1",1,1,1
"98","2",1,2,2
"99","3",1,3,3
"100","4",1,4,4
"101","5",1,5,5
"102","6",1,6,6
"103","1",2,1,1
"104","2",2,2,2
"105","3",2,3,3
"106","4",1,4,4
"107","5",1,5,5
"108","6",1,6,6
"109","1",1,1,1
"110","2",1,2,2
"111","3",1,3,3
"112","4",1,4,4
"113","5",1,5,5
"114","6",1,6,6
"115","1",2,1,1
"116","2",2,2,2
"117","3",2,3,3
"118","4",1,4,4
"119","5",1,5,5
"120","6",1,6,6
"121","1",2,1,1
"122","2",2,2,2
"123","3",1,3,3
"124","4",1,4,4
"125","5",1,5,5
"126","6",1,6,6
"127","1",1,1,1
"128","2",1,2,2
"129","3",1,3,3
"130","4",1,4,4
"131","5",1,5,5
"132","6",1,6,6
"133","1",1,1,1
"134","2",1,2,2
"135","3",1,3,3
"136","4",1,4,4
"137","5",1,5,5
"138","6",1,6,6
"139","1",1,1,1
"140","2",1,2,2
"141","3",1,3,3
"142","4",1,4,4
"143","5",1,5,5
"144","6",1,6,6
"145","1",0,1,1
"146","2",1,2,2
"147","3",1,3,3
"148","4",1,4,4
"149","5",1,5,5
"150","6",1,6,6
"151","1",1,1,1
"152","2",1,2,2
"153","3",1,3,3
"154","4",1,4,4
"155","5",1,5,5
"156","6",1,6,6
"157","1",3,1,1
"158","2",2,2,2
"159","3",1,3,3
"160","4",1,4,4
"161","5",1,5,5
"162","6",1,6,6
"163","1",1,1,1
"164","2",2,2,2
"165","3",1,3,3
"166","4",1,4,4
"167","5",1,5,5
"168","6",1,6,6
"169","1",1,1,1
"170","2",1,2,2
"171","3",1,3,3
"172","4",1,4,4
"173","5",1,5,5
"174","6",1,6,6
"175","1",1,1,1
"176","2",1,2,2
"177","3",1,3,3
"178","4",1,4,4
"179","5",1,5,5
"180","6",1,6,6
"181","1",1,1,1
"182","2",1,2,2
"183","3",1,3,3
"184","4",1,4,4
"185","5",1,5,5
"186","6",1,6,6
"187","1",0,1,1
"188","2",1,2,2
"189","3",1,3,3
"190","4",1,4,4
"191","5",1,5,5
"192","6",1,6,6
"193","1",1,1,1
"194","2",1,2,2
"195","3",1,3,3
"196","4",1,4,4
"197","5",1,5,5
"198","6",1,6,6
"199","1",0,1,1
"200","2",1,2,2
"201","3",1,3,3
"202","4",1,4,4
"203","5",1,5,5
"204","6",1,6,6
"205","1",2,1,1
"206","2",1,2,2
"207","3",1,3,3
"208","4",1,4,4
"209","5",1,5,5
"210","6",1,6,6
"211","1",2,1,1
"212","2",2,2,2
"213","3",1,3,3
"214","4",1,4,4
"215","5",1,5,5
"216","6",1,6,6
"217","1",1,1,1
"218","2",1,2,2
"219","3",1,3,3
"220","4",1,4,4
"221","5",1,5,5
"222","6",1,6,6
"223","1",0,1,1
"224","2",1,2,2
"225","3",1,3,3
"226","4",1,4,4
"227","5",1,5,5
"228","6",1,6,6
"229","1",0,1,1
"230","2",1,2,2
"231","3",1,3,3
"232","4",1,4,4
"233","5",1,5,5
"234","6",1,6,6
"235","1",2,1,1
"236","2",1,2,2
"237","3",1,3,3
"238","4",1,4,4
"239","5",1,5,5
"240","6",1,6,6
"241","1",1,1,1
"242","2",2,2,2
"243","3",2,3,3
"244","4",1,4,4
"245","5",1,5,5
"246","6",1,6,6
"247","1",0,1,1
"248","2",1,2,2
"249","3",1,3,3
"250","4",1,4,4
"251","5",1,5,5
"252","6",1,6,6
"253","1",1,1,1
"254","2",1,2,2
"255","3",1,3,3
"256","4",1,4,4
"257","5",1,5,5
"258","6",1,6,6
"259","1",0,1,1
"260","2",1,2,2
"261","3",1,3,3
"262","4",1,4,4
"263","5",1,5,5
"264","6",1,6,6
"265","1",1,1,1
"266","2",1,2,2
"267","3",1,3,3
"268","4",1,4,4
"269","5",1,5,5
"270","6",1,6,6
"271","1",1,1,1
"272","2",2,2,2
"273","3",1,3,3
"274","4",1,4,4
"275","5",1,5,5
"276","6",1,6,6
"277","1",1,1,1
"278","2",2,2,2
"279","3",1,3,3
"280","4",1,4,4
"281","5",1,5,5
"282","6",1,6,6
"283","1",0,1,1
"284","2",1,2,2
"285","3",1,3,3
"286","4",1,4,4
"287","5",1,5,5
"288","6",1,6,6
"289","1",0,1,1
"290","2",1,2,2
"291","3",1,3,3
"292","4",1,4,4
"293","5",1,5,5
"294","6",1,6,6
"295","1",1,1,1
"296","2",1,2,2
"297","3",1,3,3
"298","4",1,4,4
"299","5",1,5,5
"300","6",1,6,6
"301","1",0,1,1
"302","2",1,2,2
"303","3",1,3,3
"304","4",1,4,4
"305","5",1,5,5
"306","6",1,6,6
"307","1",0,1,1
"308","2",2,2,2
"309","3",1,3,3
"310","4",1,4,4
"311","5",1,5,5
"312","6",1,6,6
"313","1",2,1,1
"314","2",1,2,2
"315","3",1,3,3
"316","4",1,4,4
"317","5",1,5,5
"318","6",1,6,6
"319","1",1,1,1
"320","2",1,2,2
"321","3",1,3,3
"322","4",1,4,4
"323","5",1,5,5
"324","6",1,6,6
"325","1",1,1,1
"326","2",1,2,2
"327","3",1,3,3
"328","4",1,4,4
"329","5",1,5,5
"330","6",1,6,6
"331","1",0,1,1
"332","2",1,2,2
"333","3",1,3,3
"334","4",1,4,4
"335","5",1,5,5
"336","6",1,6,6
"337","1",1,1,1
"338","2",1,2,2
"339","3",1,3,3
"340","4",1,4,4
"341","5",1,5,5
"342","6",1,6,6
"343","1",2,1,1
"344","2",2,2,2
"345","3",1,3,3
"346","4",1,4,4
"347","5",1,5,5
"348","6",1,6,6
"349","1",0,1,1
"350","2",1,2,2
"351","3",1,3,3
"352","4",1,4,4
"353","5",1,5,5
"354","6",1,6,6
"355","1",2,1,1
"356","2",2,2,2
"357","3",1,3,3
"358","4",1,4,4
"359","5",1,5,5
"360","6",1,6,6
"361","1",0,1,1
"362","2",1,2,2
"363","3",1,3,3
"364","4",1,4,4
"365","5",1,5,5
"366","6",1,6,6
"367","1",1,1,1
"368","2",1,2,2
"369","3",1,3,3
"370","4",1,4,4
"371","5",1,5,5
"372","6",1,6,6
"373","1",1,1,1
"374","2",1,2,2
"375","3",1,3,3
"376","4",1,4,4
"377","5",1,5,5
"378","6",1,6,6
"379","1",1,1,1
"380","2",1,2,2
"381","3",1,3,3
"382","4",1,4,4
"383","5",1,5,5
"384","6",1,6,6
"385","1",0,1,1
"386","2",1,2,2
"387","3",1,3,3
"388","4",1,4,4
"389","5",1,5,5
"390","6",1,6,6
"391","1",1,1,1
"392","2",1,2,2
"393","3",1,3,3
"394","4",1,4,4
"395","5",1,5,5
"396","6",1,6,6
"397","1",1,1,1
"398","2",1,2,2
"399","3",1,3,3
"400","4",1,4,4
"401","5",1,5,5
"402","6",1,6,6
"403","1",2,1,1
"404","2",1,2,2
"405","3",1,3,3
"406","4",1,4,4
"407","5",1,5,5
"408","6",1,6,6
"409","1",1,1,1
"410","2",1,2,2
"411","3",1,3,3
"412","4",1,4,4
"413","5",1,5,5
"414","6",1,6,6
"415","1",1,1,1
"416","2",1,2,2
"417","3",1,3,3
"418","4",1,4,4
"419","5",1,5,5
"420","6",1,6,6
"421","1",1,1,1
"422","2",1,2,2
"423","3",1,3,3
"424","4",1,4,4
"425","5",1,5,5
"426","6",1,6,6
"427","1",1,1,1
"428","2",1,2,2
"429","3",1,3,3
"430","4",1,4,4
"431","5",1,5,5
"432","6",1,6,6
"433","1",1,1,1
"434","2",1,2,2
"435","3",1,3,3
"436","4",1,4,4
"437","5",1,5,5
"438","6",1,6,6
"439","1",1,1,1
"440","2",1,2,2
"441","3",1,3,3
"442","4",1,4,4
"443","5",1,5,5
"444","6",1,6,6
"445","1",2,1,1
"446","2",2,2,2
"447","3",2,3,3
"448","4",2,4,4
"449","5",1,5,5
"450","6",1,6,6
"451","1",0,1,1
"452","2",1,2,2
"453","3",1,3,3
"454","4",1,4,4
"455","5",1,5,5
"456","6",1,6,6
"457","1",1,1,1
"458","2",1,2,2
"459","3",1,3,3
"460","4",1,4,4
"461","5",1,5,5
"462","6",1,6,6
"463","1",1,1,1
"464","2",1,2,2
"465","3",1,3,3
"466","4",1,4,4
"467","5",1,5,5
"468","6",1,6,6
"469","1",2,1,1
"470","2",2,2,2
"471","3",2,3,3
"472","4",1,4,4
"473","5",1,5,5
"474","6",1,6,6
"475","1",1,1,1
"476","2",1,2,2
"477","3",1,3,3
"478","4",1,4,4
"479","5",1,5,5
"480","6",1,6,6
"481","1",1,1,1
"482","2",1,2,2
"483","3",1,3,3
"484","4",1,4,4
"485","5",1,5,5
"486","6",1,6,6
"487","1",1,1,1
"488","2",1,2,2
"489","3",1,3,3
"490","4",1,4,4
"491","5",1,5,5
"492","6",1,6,6
"493","1",0,1,1
"494","2",1,2,2
"495","3",1,3,3
"496","4",1,4,4
"497","5",1,5,5
"498","6",1,6,6
"499","1",0,1,1
"500","2",1,2,2
"501","3",1,3,3
"502","4",1,4,4
"503","5",1,5,5
"504","6",1,6,6
"505","1",1,1,1
"506","2",1,2,2
"507","3",1,3,3
"508","4",1,4,4
"509","5",1,5,5
"510","6",1,6,6
"511","1",1,1,1
"512","2",1,2,2
"513","3",1,3,3
"514","4",1,4,4
"515","5",1,5,5
"516","6",1,6,6
"517","1",2,1,1
"518","2",1,2,2
"519","3",1,3,3
"520","4",1,4,4
"521","5",1,5,5
"522","6",1,6,6
"523","1",1,1,1
"524","2",1,2,2
"525","3",1,3,3
"526","4",1,4,4
"527","5",1,5,5
"528","6",1,6,6
"529","1",1,1,1
"530","2",2,2,2
"531","3",2,3,3
"532","4",1,4,4
"533","5",1,5,5
"534","6",1,6,6
"535","1",1,1,1
"536","2",1,2,2
"537","3",1,3,3
"538","4",1,4,4
"539","5",1,5,5
"540","6",1,6,6
"541","1",0,1,1
"542","2",1,2,2
"543","3",1,3,3
"544","4",1,4,4
"545","5",1,5,5
"546","6",1,6,6
"547","1",1,1,1
"548","2",2,2,2
"549","3",1,3,3
"550","4",1,4,4
"551","5",1,5,5
"552","6",1,6,6
"553","1",1,1,1
"554","2",1,2,2
"555","3",1,3,3
"556","4",1,4,4
"557","5",1,5,5
"558","6",1,6,6
"559","1",1,1,1
"560","2",1,2,2
"561","3",1,3,3
"562","4",1,4,4
"563","5",1,5,5
"564","6",1,6,6
"565","1",1,1,1
"566","2",1,2,2
"567","3",1,3,3
"568","4",1,4,4
"569","5",1,5,5
"570","6",1,6,6
"571","1",0,1,1
"572","2",1,2,2
"573","3",1,3,3
"574","4",1,4,4
"575","5",1,5,5
"576","6",1,6,6
"577","1",2,1,1
"578","2",2,2,2
"579","3",2,3,3
"580","4",2,4,4
"581","5",1,5,5
"582","6",1,6,6
"583","1",1,1,1
"584","2",1,2,2
"585","3",1,3,3
"586","4",1,4,4
"587","5",1,5,5
"588","6",1,6,6
"589","1",2,1,1
"590","2",2,2,2
"591","3",2,3,3
"592","4",1,4,4
"593","5",1,5,5
"594","6",1,6,6
"595","1",1,1,1
"596","2",1,2,2
"597","3",1,3,3
"598","4",1,4,4
"599","5",1,5,5
"600","6",1,6,6
